Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2004-12-31,3563.39,3856.01,3452.41,3821.16,24980310690
2005-12-31,3830.58,4780.04,3804.92,4715.23,24153385826
2006-12-31,4731.91,5553.85,4564.68,5541.75,28230133680
2007-12-31,5575.75,6168.14,5217.7,5614.08,32500501449
2008-12-31,5609.98,5665.93,2838.5,3217.97,41037482215
2009-12-31,3240.75,3976.92,2465.46,3936.33,31039698387
2010-12-31,3952.21,4088.18,3287.57,3804.78,29050751810
2011-12-31,3847.63,4169.87,2693.21,3159.81,34041185831
2012-12-31,3158.24,3684.16,2922.26,3641.07,39818174656
2013-12-31,3703.97,4356.28,3575.17,4295.95,24152190422
2014-12-31,4309.16,4598.65,3789.11,4272.75,30105894632
2015-12-31,4294.05,5283.71,4076.16,4637.06,33181977222
2016-12-31,4582.05,4864.29,3892.46,4862.31,28939457072
2017-12-31,4847.37,5536.4,4733.82,5312.56,22796497004
2018-12-31,5318.74,5657.44,4555.99,4730.69,22398734657
2019-12-31,4664.02,6065,4606.2,5978.06,20434786076
2020-12-31,6016.51,6111.41016,3632.06006,4344.95,11251315121
