Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2004-12-31,3969.04,4272.18,3618.58,4256.08,47796935452
2005-12-31,4260.92,5469.96,4157.51,5408.25,52285527184
2006-12-31,5410.24,6629.33,5243.71,6596.91,57917915744
2007-12-31,6614.73,8151.56,6444.7,8067.31,69122736592
2008-12-31,8045.97,8100.64,4014.6,4810.2,48594413984
2009-12-31,4856.85,6026.69,3588.89,5957.43,30477085338
2010-12-31,5975.52,7087.84,5433.02,6914.19,30052700939
2011-12-31,6973.39,7600.41,4967.59,5898.35,41026282672
2012-12-31,5900.18,7682.9,5900.18,7612.39,37910397965
2013-12-31,7689.46,9594.35,7418.84,9552.16,26894705217
2014-12-31,9598.25,10093.03,8354.97,9805.55,22352049162
2015-12-31,9869.13,12390.75,9325.05,10743.01,24698693828
2016-12-31,10485.81,11481.66,8699.29,11481.06,24683814368
2017-12-31,11426.38,13525.56,11414.82,12917.64,22808734422
2018-12-31,12897.69,13596.89,10279.2,10558.96,26270212810
2019-12-31,10477.8,13425.85,10386.97,13249.01,23049662641
2020-12-31,13233.7,13795.24023,8255.65039,10542.66,12096285464
