Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2004-12-31,20849.7,26691.7,20848.9,26636.2,2917862457
2005-12-31,26669.9,36082.2,24966,35600.8,3607532173
2006-12-31,35466.4,52523.8,34768.3,50411.8,7101684782
2007-12-31,50396.2,67772.9,48814.8,55648.5,19896140115
2008-12-31,55702.5,56066.8,24125.4,27228.6,18577795612
2009-12-31,27967.8,40912.9,20370.3,39986,23738018931
2010-12-31,40156.1,47911.57,37038.9,47489.91,22135899206
2011-12-31,47649.12,50501.79,35348.98,37595.44,28049123915
2012-12-31,37716.67,47941.82,36483.38,47460.59,29851782384
2013-12-31,47961.62,55384.83,42842.07,51284.25,26248168747
2014-12-31,51670.42,55687.59,48765.47,51416.08,14759144614
2015-12-31,51598.39,57460.44,43724.52,46467.38,12088149104
2016-12-31,45701.18,51921.03,41747.01,51754.03,12251891379
2017-12-31,51743.43,66053.82,51608.44,63746.2,13427634275
2018-12-31,63988.33,67933.05,54027.32,57690.5,11362194765
2019-12-31,57494.1,62009.9,54702.14,57832.88,9010334699
2020-12-31,58122.4,59298.21875,35588.10938,45431.66,5183488576
